0010944W,101,Ecole maternelle Pauline Kergomard,Public,10,1244
0010840H,151,Ecole primaire privée Sainte Blandine-St Jean de Bosco,Privé,10,1244
0010520K,151,Ecole élémentaire Champ de Foire,Public,10,1244
0010054D,390,Section d'enseignement général et professionnel adapté du Collège Vaugelas,Public,10,1244
0011180C,101,Ecole maternelle Le Ménel,Public,10,1244
0011217T,151,Ecole élémentaire La Bovagne,Public,10,1244
0011201A,151,Ecole primaire,Public,10,1245
0011132A,151,Ecole élémentaire,Public,10,1246
0011096L,101,Ecole maternelle,Public,10,1246
0010138V,151,Ecole Primaire,Public,10,1247
0010251T,151,Ecole primaire,Public,10,1248
0011102T,390,Section d'enseignement général et professionnel adapté du Collège Anne Frank,Public,10,1249
0010280Z,151,Ecole primaire Jean de La Fontaine,Public,10,1249
0011151W,340,Collège privé Saint Joseph,Privé,10,1249
0010968X,101,Ecole maternelle Henri Deschamps,Public,10,1249
0010281A,151,Ecole primaire,Public,10,1249
0010967W,151,Ecole élémentaire Henri Deschamps,Public,10,1249
0010814E,320,Lycée professionnel privé Saint Joseph,Privé,10,1249
0010075B,300,Lycée général et technologique privé Saint Joseph,Privé,10,1249
0011028M,151,Ecole primaire Groupe scolaire du Centre,Public,10,1249
0010841J,151,Ecole primaire privée Saint Joseph,Privé,10,1249
0010964T,340,Collège Anne Frank,Public,10,1249
0010059J,307,"Lycée d'enseignement général, technologique et professionnel agricole de Cibeins-Miserieux",Public,10,1250
0010252U,151,Ecole primaire,Public,10,1250
0010346W,151,Ecole primaire,Public,10,1252
0010763Z,151,Ecole primaire,Public,10,1254
0011349L,151,Ecole primaire publique,Public,10,1255
0010600X,151,Ecole primaire,Public,10,1257
0010347X,151,Ecole primaire,Public,10,1258
0011415H,340,Collège du Val de Saône,Public,10,1258
0010764A,151,Ecole élémentaire,Public,10,1259
0010525R,151,Ecole élémentaire,Public,10,1260
0010264G,151,Ecole primaire,Public,10,1261
0010494G,101,Ecole Maternelle,Public,10,1262
0010842K,151,Ecole primaire privée Saint Vincent de Paul,Privé,10,1262
0010491D,151,Ecole élémentaire Alphonse Daudet,Public,10,1262
0010492E,151,Ecole primaire Saint-Exupéry,Public,10,1262
0010796K,340,Collège Emile Cizain,Public,10,1262
0011170S,380,Maison Familiale Rurale de la Saulsaie - Montluel,Privé,10,1262
0011361Z,380,Maison Familiale Rurale de la Dombes - Montluel,Privé,10,1262
